CustomerID,Lookalikes
C0001,"[('C0152', 0.9995089000338947), ('C0174', 0.998800911847912), ('C0148', 0.9891413098831503)]"
C0002,"[('C0134', 0.9981234118231392), ('C0159', 0.9962094570586203), ('C0106', 0.8838418830637068)]"
C0003,"[('C0031', 0.9993387540127565), ('C0129', 0.9985484487290793), ('C0195', 0.9899762255101773)]"
C0004,"[('C0148', 0.9894684086022095), ('C0001', 0.9876294784514272), ('C0174', 0.9870823809675705)]"
C0005,"[('C0007', 0.9993715903975181), ('C0140', 0.9876858722983126), ('C0106', 0.8848547051938241)]"
C0006,"[('C0076', 0.9950437771201375), ('C0187', 0.994374015681806), ('C0108', 0.9736892591269347)]"
C0007,"[('C0005', 0.9993715903975181), ('C0140', 0.9833801083108028), ('C0106', 0.8847847404048417)]"
C0008,"[('C0024', 0.9928554429115), ('C0194', 0.9922401303244481), ('C0098', 0.990561902367423)]"
C0009,"[('C0198', 0.9686607787292308), ('C0066', 0.9598737203141368), ('C0074', 0.8689480014448185)]"
C0010,"[('C0132', 0.9983950796697526), ('C0061', 0.9977329211667187), ('C0103', 0.8895300491294702)]"
C0011,"[('C0107', 0.9997239354871995), ('C0192', 0.9956643023724733), ('C0155', 0.992722139319407)]"
C0012,"[('C0085', 0.976017586724106), ('C0148', 0.9744416983975108), ('C0004', 0.9621598418563765)]"
C0013,"[('C0087', 0.9995642584349319), ('C0126', 0.9964170858874191), ('C0155', 0.9838933952771621)]"
C0014,"[('C0089', 0.9857568887129862), ('C0060', 0.900073526799863), ('C0197', 0.7988024391704626)]"
C0015,"[('C0131', 0.9668865010432541), ('C0038', 0.9511865295655456), ('C0160', 0.949361710922187)]"
C0016,"[('C0183', 0.9999609657355453), ('C0034', 0.997374792032179), ('C0094', 0.9902194795921875)]"
C0017,"[('C0051', 0.9984393103104025), ('C0041', 0.9976090172763148), ('C0075', 0.9955196823862703)]"
C0018,"[('C0035', 0.9940866097973263), ('C0047', 0.9886301126069904), ('C0157', 0.9857757530879047)]"
C0019,"[('C0070', 0.9845711795117126), ('C0023', 0.9830816853226505), ('C0074', 0.875625865562157)]"
C0020,"[('C0050', 0.8120345291779446), ('C0072', 0.7947261005356622), ('C0125', 0.7887314969396889)]"
